POSITION	SEASON	GP	PPG	PER	MPG	RPG	APG	SPG	BPG	TPG	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	MIN	PTS	REB	AST	STL	BLK	TOV	PF	+/-
Power Forward	1995-96	5029	9.1	14.8	23.0	5.5	1.3	0.6	0.6	1.4	3.5	7.4	48.2	0.2	0.5	33.7	1.9	2.7	69.7	115,813	45,844	27,669	6,405	3,124	3,081	6,830	12,547	
Center	1995-96	4544	8.3	14.9	21.5	5.5	1.0	0.5	1.1	1.4	3.3	6.6	49.7	0.0	0.1	27.5	1.7	2.6	67.9	97,818	37,850	25,173	4,334	2,346	5,020	6,213	12,168	
Point Guard	1996-97	4693	9.7	15.6	24.6	2.3	4.5	1.1	0.1	1.8	3.5	8.0	43.1	1.0	2.7	36.0	1.8	2.3	78.0	115,606	45,503	10,677	20,972	5,059	647	8,374	8,642	+455
Shooting Guard	1996-97	4734	11.0	14.7	25.3	2.8	2.3	1.0	0.3	1.5	3.9	9.0	43.3	1.1	3.0	36.9	2.1	2.6	79.8	119,865	52,181	13,250	10,972	4,525	1,200	7,151	9,130	+514
Small Forward	1996-97	4553	10.9	14.7	26.4	4.1	2.1	0.9	0.4	1.5	4.1	9.0	45.1	0.8	2.1	35.9	2.0	2.7	75.2	120,099	49,508	18,646	9,469	4,098	2,036	7,002	10,413	-803
Power Forward	1996-97	5059	9.3	15.3	23.8	5.9	1.3	0.7	0.6	1.4	3.6	7.5	48.0	0.2	0.5	32.7	1.9	2.8	69.5	120,249	46,983	29,626	6,793	3,459	3,013	7,209	12,307	-363
Center	1996-97	4718	7.7	14.7	21.1	5.4	0.9	0.5	1.0	1.3	3.0	6.2	49.1	0.0	0.1	31.8	1.6	2.4	67.1	99,351	36,258	25,504	4,220	2,345	4,778	6,042	12,110	+197
Point Guard	1997-98	4917	8.7	14.6	23.9	2.3	4.3	1.1	0.1	1.7	3.2	7.6	42.1	0.6	1.8	33.6	1.7	2.2	78.3	117,635	42,843	11,250	21,082	5,224	672	8,445	9,070	-249
Shooting Guard	1997-98	4858	10.7	14.5	25.2	2.8	2.3	0.9	0.2	1.4	3.9	9.0	43.2	0.9	2.5	36.7	2.0	2.5	79.5	122,424	51,911	13,624	10,952	4,527	1,166	6,904	9,220	+977
Small Forward	1997-98	4490	10.5	14.9	25.4	4.1	1.9	0.9	0.4	1.5	3.9	8.7	45.2	0.5	1.5	34.3	2.2	2.8	76.0	114,047	47,192	18,282	8,671	4,021	1,970	6,762	10,216	+218
Power Forward	1997-98	5057	9.5	15.6	24.1	5.8	1.4	0.7	0.6	1.4	3.7	7.8	47.4	0.1	0.4	29.1	2.1	3.0	69.4	121,856	48,257	29,451	7,183	3,707	3,219	7,329	12,665	-1181
Center	1997-98	4679	7.9	15.5	21.2	5.6	1.0	0.5	1.1	1.2	3.1	6.4	48.2	0.0	0.2	28.7	1.7	2.6	66.7	99,158	37,066	26,191	4,498	2,464	5,035	5,847	12,107	+235
Point Guard	1998-99	3001	8.6	15	24.2	2.4	4.2	1.1	0.1	1.7	3.2	7.6	41.5	0.7	2.0	33.4	1.6	2.0	76.9	72,558	25,679	7,167	12,493	3,161	368	5,179	5,303	+315
Shooting Guard	1998-99	2655	10.0	14.3	24.9	2.9	2.2	0.9	0.3	1.5	3.6	8.7	41.3	0.9	2.6	34.5	2.0	2.5	79.3	66,223	26,564	7,632	5,803	2,451	665	4,005	4,777	+458
Small Forward	1998-99	2900	10.0	14.7	25.3	3.9	1.8	0.9	0.4	1.4	3.7	8.6	43.0	0.6	1.6	35.1	2.0	2.7	75.8	73,478	29,011	11,256	5,318	2,697	1,157	4,090	6,341	-165
Power Forward	1998-99	3400	8.6	15.5	22.4	5.2	1.1	0.7	0.6	1.3	3.3	7.1	46.0	0.1	0.4	30.5	1.9	2.7	69.9	76,022	29,281	17,747	3,849	2,227	2,068	4,444	8,085	-338
Center	1998-99	2965	7.5	15.6	21.0	5.6	0.9	0.5	1.0	1.2	2.9	6.1	47.5	0.0	0.1	21.7	1.7	2.6	64.5	62,369	22,257	16,593	2,587	1,577	2,938	3,524	7,700	-270
Point Guard	1999-00	5151	8.7	14.8	23.1	2.4	4.2	1.0	0.1	1.6	3.2	7.7	42.2	0.7	2.0	34.5	1.5	1.9	78.8	118,885	44,699	12,151	21,707	4,931	632	8,356	9,306	-6
Shooting Guard	1999-00	4412	11.1	14.6	25.7	3.1	2.3	0.9	0.3	1.5	4.1	9.4	43.4	0.9	2.4	36.5	2.1	2.7	80.1	113,185	49,042	13,891	10,075	4,082	1,170	6,513	9,229	+163
Small Forward	1999-00	4907	10.8	15.1	25.4	4.2	2.1	0.9	0.4	1.5	4.1	9.1	44.7	0.6	1.7	35.9	2.1	2.7	77.1	124,676	53,169	20,589	10,068	4,230	2,102	7,304	11,182	+143
Power Forward	1999-00	4949	9.4	15.5	23.4	5.7	1.4	0.7	0.6	1.4	3.6	7.8	46.9	0.2	0.7	33.0	1.9	2.7	72.0	115,635	46,664	28,362	6,868	3,347	3,102	7,069	12,567	+306
Center	1999-00	4879	7.8	14.9	20.9	5.5	0.9	0.5	1.1	1.3	3.0	6.4	47.9	0.0	0.1	31.3	1.7	2.5	68.0	101,889	38,215	27,069	4,412	2,278	5,287	6,130	13,124	-606
Point Guard	2000-01	5203	8.6	14.8	23.6	2.4	4.1	0.9	0.1	1.6	3.2	7.7	42.2	0.7	1.9	35.3	1.5	1.9	79.1	122,948	44,960	12,528	21,106	4,866	644	8,217	9,354	-700
Shooting Guard	2000-01	4093	11.8	15.3	27.2	3.2	2.6	1.0	0.3	1.5	4.2	9.9	42.7	0.9	2.5	36.6	2.4	3.0	81.3	111,503	48,173	13,054	10,584	4,041	1,152	6,342	8,396	+879
Small Forward	2000-01	4911	10.5	14.7	25.0	4.1	1.8	0.8	0.4	1.5	4.0	9.0	44.3	0.6	1.7	35.0	1.9	2.5	76.0	122,692	51,461	20,173	9,055	3,959	1,912	7,211	10,949	-249
