"","Season","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Player-additional"
"13460","2011-2012","Yi Jianlian","PF",24,"DAL",30,203,10.4,0.433,0.122,0.256,6.7,20.3,13.6,4.1,1.8,3.1,13.3,24.1,-0.3,0.3,0,-0.003,-5.4,-0.3,-5.7,-0.2,"jianlyi01"
"13461","2011-2012","Amir Johnson","PF",24,"TOR",64,1553,14.4,0.6,0.015,0.247,11.4,19.4,15.4,8.7,1.1,3.6,20,14.3,1.9,2,4,0.122,-1.4,0.9,-0.5,0.6,"johnsam01"
"13462","2011-2012","Armon Johnson","PG",22,"TOT",9,124,12.9,0.515,0.07,0.14,0.9,11.6,6.1,16.1,2.1,0,11.6,19.1,0.1,0,0.1,0.05,-1.8,0.1,-1.7,0,"johnsar02"
"13463","2011-2012","Armon Johnson","PG",22,"POR",1,5,20.7,1,0,0,0,23.8,11.7,0,10.5,0,50,18.3,0,0,0,0.042,-4.2,9.1,4.9,0,"johnsar02"
"13464","2011-2012","Armon Johnson","PG",22,"NJN",8,119,12.5,0.504,0.071,0.143,0.9,11,5.9,16.7,1.8,0,10.1,19.1,0.1,0,0.1,0.051,-1.7,-0.3,-2,0,"johnsar02"
"13465","2011-2012","Carldell Johnson","PG",29,"NOH",15,119,8.9,0.372,0.429,0.086,1,7.9,4.5,29.4,3.7,0,16.2,17.2,-0.1,0.1,0,-0.003,-3.1,1.7,-1.5,0,"johnsca01"
"13466","2011-2012","Chris Johnson","C",26,"TOT",27,175,10.8,0.557,0,0.463,10.1,16.8,13.5,1.8,1.9,4,23.3,17.1,0,0.2,0.2,0.059,-5.8,0.6,-5.2,-0.1,"johnsch03"
"13467","2011-2012","Chris Johnson","C",26,"POR",20,93,11.4,0.566,0,0.522,9.8,12.8,11.3,1.7,0.6,6.6,19.8,17.4,0.1,0.1,0.1,0.077,-5.8,0.4,-5.4,-0.1,"johnsch03"
"13468","2011-2012","Chris Johnson","C",26,"NOH",7,82,10.1,0.546,0,0.389,10.3,21.4,16,2,3.3,1,27.5,16.8,-0.1,0.1,0.1,0.038,-5.8,0.9,-4.9,-0.1,"johnsch03"
"13469","2011-2012","Ivan Johnson","PF",27,"ATL",56,934,14.3,0.558,0.022,0.364,8.2,20.1,14.2,5.7,2.4,1.5,17.8,19.5,0.5,1.7,2.2,0.113,-2.8,0.6,-2.2,0,"johnsiv01"
"13470","2011-2012","JaJuan Johnson","PF",22,"BOS",36,298,11.4,0.456,0,0.074,8.3,14.4,11.5,3.6,0.9,3.6,10.1,22.4,-0.3,0.5,0.2,0.032,-3.3,-0.6,-3.9,-0.1,"johnsja02"
"13471","2011-2012","James Johnson","SF",24,"TOR",62,1561,14.5,0.498,0.116,0.222,5.6,16.2,11,13.9,2.4,4.4,15.1,20.2,0.1,2.5,2.6,0.079,-0.9,2.3,1.5,1.3,"johnsja01"
"13472","2011-2012","Joe Johnson","SG",30,"ATL",60,2127,18.4,0.557,0.346,0.2,2.9,9.2,6.1,19.7,1.2,0.5,10.3,24.9,4.4,2.1,6.4,0.145,3.1,-1,2.1,2.2,"johnsjo02"
