"","Season","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Player-additional"
"17243","2017-2018","Johnny O'Bryant","PF",24,"CHO",36,379,11.9,0.47,0.251,0.146,8.1,18.6,13.3,5.9,1.2,1.3,7.6,22.5,-0.1,0.4,0.3,0.038,-2.9,-1.5,-4.4,-0.2,"obryajo01"
"17244","2017-2018","Royce O'Neale","SF",24,"UTA",69,1150,10.8,0.54,0.415,0.268,2.5,20.6,11.7,12,1.6,1.2,14.8,14.6,0.5,1.8,2.4,0.099,-2,1.8,-0.2,0.5,"onealro01"
"17245","2017-2018","Kyle O'Quinn","C",27,"NYK",77,1387,20,0.625,0.044,0.331,9.7,27.8,18.8,16.8,1.3,6.1,18.5,17,2.7,2.1,4.8,0.166,0.4,2.6,3.1,1.8,"oquinky01"
"17246","2017-2018","Semi Ojeleye","PF",23,"BOS",73,1150,4.6,0.473,0.665,0.218,3.6,11.6,7.7,2.4,0.9,0.3,10.8,9,-0.2,1.3,1.2,0.048,-4.6,-0.1,-4.7,-0.8,"ojelese01"
"17247","2017-2018","Emeka Okafor","C",35,"NOP",26,353,16.4,0.545,0,0.232,14.9,21.7,18.4,3.1,1.1,5.6,11,14.4,0.5,0.5,1,0.14,-1.1,-0.2,-1.2,0.1,"okafoem01"
"17248","2017-2018","Jahlil Okafor","C",22,"TOT",28,353,15.3,0.584,0.029,0.21,6.3,19.4,12.8,5.9,0.4,3.9,12.2,21,0.3,0.3,0.6,0.083,-1.8,0,-1.7,0,"okafoja01"
"17249","2017-2018","Jahlil Okafor","C",22,"PHI",2,25,8.8,0.465,0,0.444,17.9,20.7,19.4,5.8,0,6.7,21.8,23.5,0,0,0,0.005,-6.4,0.1,-6.3,0,"okafoja01"
"17250","2017-2018","Jahlil Okafor","C",22,"BRK",26,328,15.8,0.593,0.031,0.194,5.5,19.3,12.3,5.9,0.4,3.6,11.4,20.9,0.3,0.3,0.6,0.089,-1.4,0,-1.4,0,"okafoja01"
"17251","2017-2018","Victor Oladipo","SG",25,"IND",75,2552,23.1,0.577,0.323,0.274,2.1,15.1,8.6,21.2,3.5,2,12.7,30.1,4.3,4,8.2,0.155,4.1,1.7,5.8,5,"oladivi01"
"17252","2017-2018","Kelly Olynyk","PF",26,"MIA",76,1779,17.8,0.612,0.44,0.274,5.6,21.6,13.6,18.7,1.7,1.7,17.1,21.7,2.8,2.7,5.5,0.148,1.1,1.2,2.3,1.9,"olynyke01"
"17253","2017-2018","Chinanu Onuaku","C",21,"HOU",1,22,-3.2,0.4,0,0,5.2,15.2,10.2,6.4,0,0,37.5,16.1,-0.1,0,-0.1,-0.147,-13,-1.7,-14.7,-0.1,"onuakch01"
"17254","2017-2018","Cedi Osman","SF",22,"CLE",61,672,11,0.577,0.468,0.247,3.2,16.6,10,8.7,1.6,0.4,13.4,15.7,0.5,0.4,0.9,0.064,-2.1,-0.7,-2.9,-0.1,"osmande01"
"17255","2017-2018","Kelly Oubre Jr.","SF",22,"WAS",81,2231,11.9,0.534,0.467,0.295,3,15.4,9.2,6.4,1.8,1.4,9.2,19.4,1.4,2.3,3.7,0.08,-1.6,-0.1,-1.7,0.2,"oubreke01"
"17256","2017-2018","Zaza Pachulia","C",33,"GSW",69,972,17,0.612,0.004,0.352,11,25,18.5,15.2,1.9,1.4,19.1,17,1.8,1.4,3.3,0.161,-0.7,0.7,0,0.5,"pachuza01"
"17257","2017-2018","Marcus Paige","PG",24,"CHO",5,28,9.1,0.403,0.571,0.143,0,15.7,7.7,16.1,0,0,0,23,0,0,0,-0.006,-5.6,-3.2,-8.8,0,"paigema01"
"17258","2017-2018","Georgios Papagiannis","C",20,"TOT",17,122,12.2,0.429,0,0,11.6,23.4,17.2,11.2,1.6,4.7,16,18.4,-0.1,0.1,0,0.005,-3.9,-0.3,-4.1,-0.1,"papagge01"
"17259","2017-2018","Georgios Papagiannis","C",20,"SAC",16,118,10.7,0.415,0,0,11.1,24.2,17.4,11.5,0.9,4.8,16.3,18.7,-0.2,0.1,0,-0.018,-4.7,-1,-5.6,-0.1,"papagge01"
"17260","2017-2018","Georgios Papagiannis","C",20,"POR",1,4,58.1,1,0,0,27.5,0,13.6,0,24.9,0,0,11,0,0,0.1,0.675,20.2,19.7,39.9,0,"papagge01"
"17261","2017-2018","Jabari Parker","PF",22,"MIL",31,743,17.1,0.55,0.244,0.163,6.6,17.1,11.9,13.1,1.7,1.2,11.2,24.4,0.6,0.6,1.2,0.08,0.9,-1.7,-0.8,0.2,"parkeja01"
"17262","2017-2018","Tony Parker","PG",35,"SAS",55,1071,12.7,0.498,0.095,0.201,0.7,9.2,4.9,28.2,1.3,0.1,13.9,20.5,0.4,1.1,1.4,0.065,-2.3,-0.9,-3.3,-0.3,"parketo01"
"17263","2017-2018","Chandler Parsons","SF",29,"MEM",36,691,13.6,0.578,0.517,0.115,2.3,13,7.5,16.4,1.3,1.5,12.5,18.3,0.7,0.4,1.1,0.077,1.2,-0.4,0.8,0.5,"parsoch01"
"17264","2017-2018","Patrick Patterson","PF",28,"OKC",82,1270,10,0.555,0.643,0.173,2.7,14.6,8.4,6.1,1.9,1.6,10.3,10.8,1.2,1.4,2.6,0.098,-1.2,1,-0.2,0.6,"pattepa01"
"17265","2017-2018","Justin Patton","C",20,"MIN",1,4,19.8,0.5,0,0,0,0,0,0,12.5,0,0,22.1,0,0,0,0.151,-2.2,5.4,3.2,0,"pattoju01"
"17266","2017-2018","Brandon Paul","SG",26,"SAS",64,576,7.4,0.504,0.425,0.339,1.1,12,6.5,9,2.2,1,16.6,13.6,-0.3,0.8,0.5,0.045,-5.1,1.6,-3.5,-0.2,"paulbr01"
"17267","2017-2018","Chris Paul","PG",32,"HOU",58,1847,24.4,0.604,0.475,0.277,2.3,16.7,9.5,40.9,2.6,0.6,12.5,24.5,7.5,2.7,10.2,0.265,5.2,1.8,7.1,4.2,"paulch01"
"17268","2017-2018","Adreian Payne","PF",26,"ORL",5,43,18.8,0.831,0.3,0.6,5.1,18,11.5,0,2.3,0,13.7,15,0.1,0,0.2,0.203,1.8,0.6,2.4,0,"paynead01"
"17269","2017-2018","Cameron Payne","PG",23,"CHI",25,582,14,0.498,0.423,0.074,3.2,9.8,6.4,29.9,2.2,1.4,14,19.3,0.3,0.4,0.8,0.063,-0.1,-0.3,-0.4,0.2,"payneca01"
"17270","2017-2018","Elfrid Payton","PG",23,"TOT",63,1808,16.5,0.538,0.138,0.252,3.8,12.8,8.2,34.9,2.2,1,18.5,21.9,1.4,1.4,2.8,0.075,0.1,-0.3,-0.2,0.8,"paytoel01"
"17271","2017-2018","Elfrid Payton","PG",23,"ORL",44,1257,18.1,0.564,0.146,0.249,4.1,11.2,7.6,35.5,2.5,1,18.3,21.8,1.6,1.1,2.7,0.104,1,0.1,1.1,1,"paytoel01"
"17272","2017-2018","Elfrid Payton","PG",23,"PHO",19,551,13.1,0.481,0.12,0.258,3.2,16.3,9.7,33.7,1.7,0.9,18.8,22.1,-0.2,0.3,0.1,0.009,-2.1,-1.1,-3.2,-0.2,"paytoel01"
"17273","2017-2018","Gary Payton II","PG",25,"TOT",23,221,9.8,0.443,0.338,0.122,6.5,15.5,11,13.7,1.5,1.1,8.2,16.8,0,0.2,0.2,0.041,-3.5,-0.4,-3.9,-0.1,"paytoga02"
"17274","2017-2018","Gary Payton II","PG",25,"MIL",12,106,7.6,0.437,0.364,0.091,4.4,14.3,9.4,12.2,1.4,0.8,8,15.9,0,0.1,0,0.016,-4.6,-0.7,-5.3,-0.1,"paytoga02"
"17275","2017-2018","Gary Payton II","PG",25,"LAL",11,115,11.8,0.447,0.317,0.146,8.4,16.5,12.5,15.1,1.7,1.4,8.4,17.6,0,0.1,0.2,0.063,-2.5,-0.1,-2.6,0,"paytoga02"
"17276","2017-2018","Kendrick Perkins","C",33,"CLE",1,15,8.4,0.521,0,1,0,7.4,3.7,17.3,3.3,0,25.8,11.4,0,0,0,0.026,-4.3,2.1,-2.2,0,"perkike01"
"17277","2017-2018","London Perrantes","PG",23,"CLE",14,66,0.7,0.23,0.231,0.385,1.7,5,3.4,9.4,1.5,1.3,6.2,10.9,-0.1,0,-0.1,-0.086,-8.3,-0.9,-9.2,-0.1,"perralo01"
"17278","2017-2018","Alec Peters","PF",22,"PHO",20,225,10.7,0.523,0.784,0.135,3.7,14,8.8,7.9,0.4,0.7,4.9,15.5,0.2,0,0.3,0.055,-0.5,-2.3,-2.8,0,"peteral01"
"17279","2017-2018","Marshall Plumlee","C",25,"MIL",8,52,10.9,0.697,0,5.333,9,29.2,19.2,4.8,0,1.6,23,11.3,0.1,0,0.2,0.143,-3.9,-0.6,-4.5,0,"plumlma02"
"17280","2017-2018","Mason Plumlee","C",27,"DEN",74,1439,16.9,0.586,0.003,0.486,10.4,20.9,15.6,14.4,1.7,4.7,18.7,16.6,1.8,1.8,3.6,0.12,-1,1.4,0.5,0.9,"plumlma01"
"17281","2017-2018","Miles Plumlee","C",29,"ATL",55,918,10.6,0.574,0,0.333,9.4,18.3,13.9,7.2,0.9,2.8,23.4,12.8,0.1,0.7,0.9,0.046,-3.7,-0.1,-3.8,-0.4,"plumlmi01"
"17282","2017-2018","Jakob Poeltl","C",22,"TOR",82,1524,17.5,0.662,0.005,0.263,12.4,16.4,14.4,5.4,1.3,5.2,16.6,14.8,3.1,2.4,5.6,0.175,-0.7,1.1,0.4,0.9,"poeltja01"
"17283","2017-2018","Quincy Pondexter","SF",29,"CHI",23,196,4,0.398,0.449,0.347,4.2,10.8,7.4,6.3,2,0.9,16.3,15,-0.3,0.1,-0.2,-0.047,-7,-0.4,-7.4,-0.3,"pondequ01"
"17284","2017-2018","Otto Porter Jr.","SF",24,"WAS",77,2432,18.3,0.602,0.354,0.145,4.8,18.1,11.4,10.1,2.4,1.5,7.4,18.4,5,3.1,8.1,0.161,2.6,1,3.5,3.4,"porteot01"
"17285","2017-2018","Bobby Portis","PF",22,"CHI",73,1643,19.7,0.548,0.275,0.192,10,23,16.2,13.2,1.5,1.3,10.5,26,2,1.5,3.5,0.101,2.2,-1.3,0.8,1.2,"portibo01"
"17286","2017-2018","Kristaps Porziņģis","PF",22,"NYK",48,1553,20.4,0.539,0.256,0.309,4.4,18.1,11.3,6.2,1.1,6.4,8.4,31,1.4,1.8,3.2,0.099,1.9,-0.1,1.8,1.5,"porzikr01"
"17287","2017-2018","Dwight Powell","C",26,"DAL",79,1672,18.8,0.656,0.195,0.43,8.7,21.3,14.7,8.5,2,1.7,10.3,15.5,4.6,2.1,6.6,0.191,0.6,1,1.6,1.5,"poweldw01"
"17288","2017-2018","Norman Powell","SG",24,"TOR",70,1062,8.5,0.492,0.497,0.104,1.5,10.9,6.3,11.8,1.7,1.2,14.4,18.9,-0.6,1.2,0.6,0.027,-3.2,0.2,-2.9,-0.3,"powelno01"
"17289","2017-2018","Alex Poythress","PF",24,"IND",25,104,7.8,0.5,0.423,0,7.7,10.8,9.2,2.6,1.4,0.9,7.1,12,0.1,0.1,0.1,0.066,-3.8,-1.3,-5.1,-0.1,"poythal01"
"17290","2017-2018","Taurean Prince","SF",23,"ATL",82,2464,12.8,0.549,0.469,0.185,2.3,15.3,8.8,13.9,1.7,1.5,15.3,22.1,0,2,2,0.038,-0.5,-0.6,-1.1,0.6,"princta02"
"17291","2017-2018","Jacob Pullen","PG",28,"PHI",3,6,-2.3,0.5,0.5,0,0,0,0,0,0,0,33.3,21.3,0,0,0,-0.21,-8.3,-4.4,-12.7,0,"pulleja01"
"17292","2017-2018","Rodney Purvis","SG",23,"ORL",16,290,4.5,0.423,0.486,0.14,0.4,9.9,5.1,8.5,0.5,0.8,8.1,18.7,-0.4,0.1,-0.3,-0.056,-6.1,-2.1,-8.2,-0.5,"purviro01"
"17293","2017-2018","Zhou Qi","C",22,"HOU",18,124,1.9,0.295,0.594,0.375,5.5,14.4,10,2.1,0.8,9.6,21.2,16.8,-0.5,0.2,-0.3,-0.104,-10.3,0.2,-10.1,-0.3,"qizh01"
"17294","2017-2018","Tim Quarterman","SG",23,"HOU",3,13,2.9,0.515,0.667,0.667,0,25.8,13,10.6,0,0,34,20,0,0,0,-0.083,-8.5,-1.2,-9.7,0,"quartti01"
"17295","2017-2018","Ivan Rabb","PF",20,"MEM",36,516,16.6,0.599,0,0.237,11.6,24.1,17.7,10.4,1.2,2.4,17.3,17.7,0.7,0.5,1.2,0.109,-0.9,-1.2,-2,0,"rabbiv01"
"17296","2017-2018","Julius Randle","C",23,"LAL",82,2190,19.9,0.606,0.05,0.47,8.9,22.8,15.9,15.8,0.9,1.7,16.3,25.3,4,2.6,6.6,0.145,0.6,0,0.6,1.4,"randlju01"
"17297","2017-2018","Zach Randolph","PF",36,"SAC",59,1508,17.3,0.529,0.193,0.14,7,23.7,15,14.9,1.4,0.6,12.5,27.6,0.3,1.2,1.5,0.048,0.5,-1.5,-1,0.4,"randoza01"
"17298","2017-2018","Xavier Rathan-Mayes","SG",23,"MEM",5,118,0.9,0.315,0.333,0.214,0,5,2.5,23,2.6,2.4,19.3,21.7,-0.5,0.1,-0.4,-0.171,-9.9,-1.6,-11.5,-0.3,"rathaxa01"
"17299","2017-2018","J.J. Redick","SG",33,"PHI",70,2116,15.9,0.614,0.523,0.248,0.5,8.3,4.5,15.1,0.8,0.2,9.6,21.7,4.8,1.8,6.6,0.15,2.2,-1.1,1.1,1.7,"redicjj01"
"17300","2017-2018","Davon Reed","SG",22,"PHO",21,242,4.8,0.388,0.5,0.158,0.9,16.6,8.6,7.6,2,0.7,11,16,-0.5,0.2,-0.3,-0.06,-5.8,-0.6,-6.4,-0.3,"reedda01"
"17301","2017-2018","Willie Reed","C",27,"TOT",42,428,19.2,0.671,0.017,0.455,9.1,21.8,15.5,3.6,1,4.3,11.6,16.6,1,0.5,1.5,0.172,0.5,0.3,0.8,0.3,"reedwi02"
"17302","2017-2018","Willie Reed","C",27,"LAC",39,419,19.4,0.669,0.017,0.458,9.3,22,15.7,3.3,1,4.4,11.6,16.8,1,0.5,1.5,0.171,0.6,0.2,0.8,0.3,"reedwi02"
"17303","2017-2018","Willie Reed","C",27,"DET",3,9,8.8,1,0,0,0,12.5,6.1,15.9,0,0,0,4.9,0,0,0,0.187,-5.3,2.6,-2.7,0,"reedwi02"
"17304","2017-2018","Josh Richardson","SF",24,"MIA",81,2689,13.6,0.551,0.38,0.16,2.9,9,6,13.2,2.3,2.4,12.9,18.2,1.8,3.5,5.4,0.096,-0.6,1.3,0.7,1.8,"richajo01"
"17305","2017-2018","Malachi Richardson","SG",22,"TOT",26,324,5.9,0.446,0.444,0.244,1.7,10.6,6,5.6,1.6,0.3,9.1,15.2,-0.2,0.1,-0.1,-0.015,-5,-1,-6,-0.3,"richama01"
"17306","2017-2018","Malachi Richardson","SG",22,"SAC",25,319,5.8,0.445,0.443,0.25,1.7,10.4,5.9,5.7,1.6,0.3,9.3,15.2,-0.2,0.1,-0.1,-0.016,-5,-1,-6,-0.3,"richama01"
"17307","2017-2018","Malachi Richardson","SG",22,"TOR",1,5,10.5,0.5,0.5,0,0,22,11.2,0,0,0,0,17.5,0,0,0,0.045,-5.6,-3,-8.6,0,"richama01"
"17308","2017-2018","Austin Rivers","SG",25,"LAC",61,2057,12.6,0.526,0.447,0.198,1.5,6.2,3.9,17.5,1.7,0.6,11.1,20.6,1.4,1,2.4,0.056,-0.3,-0.9,-1.2,0.4,"riverau01"
"17309","2017-2018","Andre Roberson","SG",26,"OKC",39,1037,10.9,0.543,0.222,0.235,7.8,12.2,9.9,6,2.2,3.1,14.4,8.6,0.8,1.3,2.2,0.1,-1.9,1.8,-0.1,0.5,"roberan03"
"17310","2017-2018","Devin Robinson","SF",22,"WAS",1,13,10.5,0.333,0,0,17.4,26,21.7,0,3.8,0,0,10.2,0,0,0,0.098,-4.2,2.1,-2.1,0,"robinde01"
"17311","2017-2018","Glenn Robinson III","SF",24,"IND",23,338,10.8,0.529,0.4,0.129,3.7,8.6,6.2,6.8,1.9,0.3,5.3,12.5,0.4,0.3,0.6,0.088,-1.2,0.4,-0.7,0.1,"robingl02"
"17312","2017-2018","Rajon Rondo","PG",31,"NOP",65,1705,15.3,0.522,0.304,0.093,2,14.2,8.4,42.2,2,0.5,22.7,16.9,1.9,1.7,3.6,0.101,0,-0.4,-0.3,0.7,"rondora01"
"17313","2017-2018","Derrick Rose","PG",29,"TOT",25,420,11.5,0.507,0.161,0.247,3.5,5.8,4.7,13.6,0.8,0.8,14.5,25.4,-0.2,0.1,-0.2,-0.018,-2.1,-3.3,-5.4,-0.4,"rosede01"
"17314","2017-2018","Derrick Rose","PG",29,"CLE",16,308,11.6,0.523,0.182,0.311,3.7,6.8,5.3,13,0.5,1.1,15.7,25.6,-0.1,0,-0.1,-0.014,-1.8,-3.5,-5.4,-0.3,"rosede01"
"17315","2017-2018","Derrick Rose","PG",29,"MIN",9,112,11.2,0.463,0.111,0.093,3.1,3.1,3.1,15.2,1.8,0,11.1,25,-0.1,0,-0.1,-0.029,-2.9,-2.6,-5.5,-0.1,"rosede01"
"17316","2017-2018","Terrence Ross","SG",26,"ORL",24,600,9.9,0.505,0.487,0.188,1.8,11.6,6.7,9.3,2.2,1.5,12.3,17.3,-0.2,0.5,0.3,0.025,-2.8,0.1,-2.7,-0.1,"rosste01"
"17317","2017-2018","Terry Rozier","PG",23,"BOS",80,2068,15.1,0.52,0.503,0.186,3.4,16.3,9.9,17.5,1.9,0.8,8.5,20.4,2.2,3.4,5.6,0.13,0.9,1.2,2.1,2.1,"roziete01"
"17318","2017-2018","Ricky Rubio","PG",27,"UTA",77,2254,15.4,0.537,0.33,0.307,2.2,15.3,8.8,28.4,2.7,0.4,18.1,22.9,1.5,3.8,5.3,0.112,-0.7,1.5,0.7,1.6,"rubiori01"
"17319","2017-2018","D'Angelo Russell","PG",21,"BRK",48,1234,15.2,0.509,0.414,0.195,2.6,13.8,8.1,35.7,1.4,1,16.8,30.8,-0.5,0.9,0.4,0.014,0.8,-2,-1.2,0.3,"russeda01"
"17320","2017-2018","Domantas Sabonis","C",21,"IND",74,1810,17.5,0.567,0.056,0.339,10.4,25.2,17.8,12.7,1.1,1.6,15.3,22.1,2.5,2.2,4.7,0.126,-0.6,-0.5,-1.1,0.4,"sabondo01"
"17321","2017-2018","JaKarr Sampson","SF",24,"SAC",22,344,13.9,0.585,0.123,0.198,6.7,19.7,12.9,3.9,1.2,6.1,8.3,12.5,0.4,0.4,0.8,0.114,-2.3,1.1,-1.2,0.1,"sampsja02"
"17322","2017-2018","Dario Šarić","PF",23,"PHI",78,2310,15.8,0.582,0.448,0.233,7.5,16.4,12.1,13,1.1,0.7,13.1,20.9,3.8,2.8,6.6,0.137,1.8,-0.5,1.3,1.9,"saricda01"
"17323","2017-2018","Tomáš Satoranský","SG",26,"WAS",73,1643,15.4,0.615,0.263,0.25,5,11.1,8,24.8,1.6,0.8,16.3,13.7,3.7,1.3,5,0.145,0.8,0.5,1.2,1.3,"satorto01"
"17324","2017-2018","Dennis Schröder","PG",24,"ATL",67,2078,17.3,0.515,0.229,0.231,2.4,8.8,5.6,36.2,1.7,0.2,12.7,30.4,1.5,1,2.6,0.059,1.2,-1.9,-0.6,0.7,"schrode01"
"17325","2017-2018","Mike Scott","PF",29,"WAS",76,1406,13.6,0.599,0.311,0.145,4,15.8,9.9,9.1,0.8,0.6,12.4,20,1.4,1,2.5,0.085,-0.6,-1.1,-1.7,0.1,"scottmi01"
"17326","2017-2018","Thabo Sefolosha","SF",33,"UTA",38,806,15.8,0.591,0.35,0.225,4.1,18.4,11.3,6.3,3.2,1.3,10.2,16.4,1,1.6,2.6,0.156,0.2,2.5,2.7,0.9,"sefolth01"
"17327","2017-2018","Wayne Selden","SG",23,"MEM",35,692,11.8,0.551,0.454,0.219,2.6,6.8,4.7,16,1.3,0.7,15.5,22.6,0.1,0.2,0.3,0.023,-0.9,-2.2,-3.1,-0.2,"seldewa01"
"17328","2017-2018","Ramon Sessions","PG",31,"TOT",28,392,11.2,0.479,0.222,0.487,1.7,9.1,5.4,27.2,1.8,0.4,17.4,19.3,0.1,0.3,0.3,0.039,-2.3,-0.9,-3.2,-0.1,"sessira01"
"17329","2017-2018","Ramon Sessions","PG",31,"NYK",13,167,6.2,0.403,0.208,0.283,0.7,11.2,6,21.9,2.1,0.5,20.1,19.5,-0.3,0.1,-0.2,-0.065,-5.3,0,-5.4,-0.1,"sessira01"
"17330","2017-2018","Ramon Sessions","PG",31,"WAS",15,225,14.9,0.533,0.234,0.656,2.5,7.5,5,31.1,1.5,0.4,15.4,19.1,0.4,0.1,0.5,0.116,-0.1,-1.5,-1.6,0,"sessira01"
"17331","2017-2018","Iman Shumpert","SG",27,"CLE",14,276,6.4,0.48,0.448,0.259,2.9,13.6,8.3,8.1,1.6,1.2,19.9,12.9,-0.2,0.2,0,-0.006,-3.4,0,-3.3,-0.1,"shumpim01"
"17332","2017-2018","Pascal Siakam","PF",23,"TOR",81,1679,14.5,0.549,0.265,0.175,5.4,18.6,12.1,13.5,1.8,2,11.1,15.7,2.1,2.5,4.7,0.133,-0.3,1.6,1.3,1.4,"siakapa01"
"17333","2017-2018","Xavier Silas","SG",30,"BOS",2,7,-4.9,0,0.667,0,15.8,15.4,15.6,0,7.1,0,0,19.1,-0.1,0,0,-0.25,-11.7,3.5,-8.1,0,"silasxa01"
"17334","2017-2018","Ben Simmons","PG",21,"PHI",81,2732,20,0.557,0.011,0.342,5.9,19.5,13,37.4,2.5,2.1,19.5,22.3,4.2,5,9.2,0.162,2,2.5,4.5,4.5,"simmobe01"
"17335","2017-2018","Jonathon Simmons","SG",28,"ORL",69,2029,12.7,0.555,0.268,0.317,3.3,9.7,6.5,13.3,1.4,0.6,14.4,22,0.8,1.1,1.9,0.045,-1.7,-1.3,-3.1,-0.5,"simmojo02"
"17336","2017-2018","Kobi Simmons","PG",20,"MEM",32,643,7.7,0.49,0.206,0.132,2.5,6.6,4.5,16.5,1.4,0.7,18,17,-0.4,0.2,-0.2,-0.013,-4.7,-2.1,-6.9,-0.8,"simmoko01"
"17337","2017-2018","Kyle Singler","SF",29,"OKC",12,59,5.9,0.43,0.238,0.619,1.8,17.5,9.4,4.8,0.8,0,10.1,21.6,-0.1,0,0,-0.031,-5,-1.6,-6.7,-0.1,"singlky01"
"17338","2017-2018","Marcus Smart","SG",23,"BOS",54,1614,10.8,0.479,0.483,0.258,3,9.8,6.4,23.7,2.2,1.2,18.4,19.4,-0.6,2.5,1.9,0.056,-2.1,1,-1.2,0.3,"smartma01"
"17339","2017-2018","Dennis Smith Jr.","PG",20,"DAL",69,2049,12.8,0.473,0.331,0.188,2.6,11.8,7,29.5,1.7,0.8,14.9,28.9,-2.4,1.7,-0.7,-0.017,-1.2,-1.2,-2.4,-0.2,"smithde03"
"17340","2017-2018","Ish Smith","PG",29,"DET",82,2043,15.4,0.525,0.126,0.145,1.4,10.9,6.1,28.4,1.6,0.9,11.2,20.8,2.4,2,4.4,0.102,-0.3,0.3,0,1,"smithis01"
"17341","2017-2018","J.R. Smith","SG",32,"CLE",80,2244,8.4,0.534,0.64,0.094,1.5,10.1,5.9,8.6,1.5,0.4,11.6,13.8,0.6,0.9,1.4,0.031,-2.1,-0.9,-3,-0.6,"smithjr01"
"17342","2017-2018","Jason Smith","C",31,"WAS",33,285,8.8,0.455,0.278,0.183,7.2,13.9,10.5,7.4,0.5,4,11.4,21.7,-0.2,0.3,0,0.003,-5.4,-1,-6.4,-0.3,"smithja02"
"17343","2017-2018","Josh Smith","PF",32,"NOP",3,12,3.5,0.25,0,0,28.1,8.7,18.1,0,0,0,0,14.4,0,0,0,-0.013,-8.4,-6.2,-14.6,0,"smithjo03"
"17344","2017-2018","Tony Snell","SG",26,"MIL",75,2053,8.5,0.578,0.631,0.113,0.5,7.5,4,6.5,1.1,1.2,7.5,10.6,1.6,0.7,2.4,0.056,-1.5,-0.8,-2.3,-0.1,"snellto01"
"17345","2017-2018","Marreese Speights","C",30,"ORL",52,675,13.7,0.539,0.668,0.158,3.4,18.4,10.8,9.8,0.6,2.6,9.7,26.9,0.1,0.5,0.6,0.045,0.2,-1.4,-1.1,0.1,"speigma01"
"17346","2017-2018","Nik Stauskas","SG",24,"TOT",41,523,9,0.543,0.649,0.188,0.8,12.3,6.5,11.1,0.8,0.6,13.5,15.9,0.1,0.3,0.3,0.031,-1.3,-1,-2.3,-0.1,"stausni01"
"17347","2017-2018","Nik Stauskas","SG",24,"PHI",6,45,0.9,0.41,0.25,0.5,0,2.3,1.2,2.7,4.3,0,45,8.4,-0.1,0.1,0,-0.044,-8.2,2.3,-5.9,0,"stausni01"
"17348","2017-2018","Nik Stauskas","SG",24,"BRK",35,478,9.8,0.547,0.66,0.18,0.9,13.2,7,11.9,0.5,0.6,12,16.7,0.2,0.2,0.4,0.038,-0.6,-1.3,-2,0,"stausni01"
"17349","2017-2018","Lance Stephenson","SG",27,"IND",82,1850,12.4,0.495,0.327,0.179,3.8,22,12.9,18.6,1.2,0.8,14.6,21.6,-0.2,2,1.8,0.046,-1.5,-0.3,-1.8,0.1,"stephla01"
"17350","2017-2018","David Stockton","PG",26,"UTA",3,9,33.9,1.05,1,1.333,0,0,0,0,0,0,17.4,28.8,0.1,0,0.1,0.459,6.7,1.1,7.9,0,"stockda01"
"17351","2017-2018","Julyan Stone","SG",29,"CHO",23,175,7.6,0.684,1,0.154,0.6,17.6,9,19.2,1.1,1,33.5,5.2,0.2,0.2,0.3,0.087,-3.2,1.9,-1.3,0,"stoneju01"
"17352","2017-2018","Edmond Sumner","PG",22,"IND",1,2,39.8,1,0,0,0,56.1,28.2,0,0,0,0,22.3,0,0,0,0.425,-2.4,9.3,6.9,0,"sumneed01"
"17353","2017-2018","Caleb Swanigan","PF",20,"POR",27,189,7.5,0.449,0.133,0.3,8.7,22.3,15.6,10.8,1.3,1.3,20.9,20,-0.3,0.3,0,-0.003,-6.6,1.2,-5.5,-0.2,"swanica01"
"17354","2017-2018","Jayson Tatum","SF",19,"BOS",80,2443,15.2,0.586,0.29,0.309,2.3,15.6,9,8.3,1.7,2,10.7,19.4,3,4,7.1,0.139,0,1.2,1.2,2,"tatumja01"
"17355","2017-2018","Isaiah Taylor","PG",23,"ATL",67,1167,10.9,0.492,0.205,0.362,2.1,6.9,4.5,27,1.4,0.7,15.7,20.1,0.2,0.5,0.6,0.027,-3.1,-1.3,-4.4,-0.7,"taylois01"
"17356","2017-2018","Jeff Teague","PG",29,"MIN",70,2311,16.4,0.553,0.287,0.301,1.2,9.3,5.2,30.6,2.2,0.9,16.4,20.6,3.4,1.4,4.9,0.101,1.1,-0.7,0.4,1.4,"teaguje01"
"17357","2017-2018","Marquis Teague","PG",24,"MEM",3,74,5.7,0.302,0.25,0.313,1.5,8,4.7,24.7,2.7,0,14.2,12.9,-0.1,0,-0.1,-0.038,-5.4,-0.4,-5.7,-0.1,"teaguma01"
"17358","2017-2018","Mirza Teletović","PF",32,"MIL",10,159,13.5,0.623,0.789,0,2.2,14.7,8.5,9.5,1.3,0.5,10.9,18.2,0.2,0.1,0.3,0.09,2.1,-1.7,0.4,0.1,"teletmi01"
"17359","2017-2018","Garrett Temple","SG",31,"SAC",65,1615,10.2,0.536,0.477,0.164,1.5,9.6,5.4,11.3,1.8,1.6,13.4,16.4,0.3,0.9,1.2,0.035,-2.2,-0.3,-2.5,-0.2,"templga01"
"17360","2017-2018","Miloš Teodosić","PG",30,"LAC",45,1134,11.6,0.564,0.644,0.128,1.6,10.5,6.1,26.2,1,0.4,20.3,18.2,0.9,0.5,1.4,0.058,-0.3,-1.5,-1.7,0.1,"teodomi01"
