season,team,lg,salary,player_id,normalized salary,salary_cap,2022 salary
2022,NOP,NBA,0,alvarjo01,0.0,112414000,112414000.0
1996,CLE,NBA,200000,amaecjo01,0.008695652173913044,23000000,42906004.0
2000,ORL,NBA,385000,amaecjo01,0.011323529411764706,34000000,57763864.0
2001,ORL,NBA,600000,amaecjo01,0.016901408450704224,35500000,58657395.0
2002,UTA,NBA,2175000,amaecjo01,0.051176470588235295,42500000,69132284.0
2003,UTA,NBA,2392500,amaecjo01,0.05940999726850587,40271000,64048956.0
2004,NYK,NBA,2610000,amaecjo01,0.059534671532846715,43840000,67907202.0
2005,NYK,NBA,1200000,amaecjo01,0.027353544563483018,43870000,65719039.0
1996,MEM,NBA,225000,amayaas01,0.009782608695652175,23000000,42906004.0
1997,WAS,NBA,247500,amayaas01,0.010158847432582194,24363000,44402880.0
2011,LAC,NBA,2563320,aminual01,0.04416167045689477,58044000,75491545.0
2012,NOP,NBA,2755560,aminual01,0.04747364068637585,58044000,73970553.0
2013,NOP,NBA,2947800,aminual01,0.050785610915856934,58044000,72903264.0
2014,NOP,NBA,3700000,aminual01,0.06305492595306668,58679000,72519787.0
2015,DAL,NBA,981084,aminual01,0.015556711329580591,63065000,77841847.0
2016,POR,NBA,7500000,aminual01,0.10714285714285714,70000000,85323721.0
2017,POR,NBA,7680965,aminual01,0.08158827528334554,94143000,112368348.0
2018,POR,NBA,7319035,aminual01,0.07386026258161525,99093000,115455294.0
2019,POR,NBA,6957105,aminual01,0.06829462348702746,101869000,116573245.0
2020,ORL,NBA,9258000,aminual01,0.08482682792743265,109140000,123384194.0
2021,CHI,NBA,9720900,aminual01,0.08906816932380429,109140000,117838496.0
2022,SAS,NBA,10183800,aminual01,0.09059191915597702,112414000,112414000.0
2022,BOS,NBA,151821,aminual01,0.0013505524222961554,112414000,112414000.0
2007,PHI,NBA,105696,amundlo01,0.0019891973275618707,53135000,74973988.0
2007,SAC,NBA,75000,amundlo01,0.0014114990119506916,53135000,74973988.0
2007,UTA,NBA,35232,amundlo01,0.0006630657758539569,53135000,74973988.0
2008,PHI,NBA,687456,amundlo01,0.012357648750674096,55630000,75594893.0
2009,PHX,NBA,797581,amundlo01,0.013592041581458759,58680000,80023973.0
2010,PHX,NBA,855189,amundlo01,0.014821299826689775,57700000,77414680.0
2011,GSW,NBA,2225000,amundlo01,0.03833298876714217,58044000,75491545.0
2012,IND,NBA,2403000,amundlo01,0.04139962786851354,58044000,73970553.0
2013,MIN,NBA,1069509,amundlo01,0.018425832127351664,58044000,72903264.0
2015,NYK,NBA,409167,amundlo01,0.006488020296519464,63065000,77841847.0
2016,NYK,NBA,1650000,amundlo01,0.023571428571428573,70000000,85323721.0
2017,NYK,NBA,1551659,amundlo01,0.016481937053206292,94143000,112368348.0
2006,CHA,NBA,398762,anderal01,0.00805579797979798,49500000,71839551.0
2007,CHA,NBA,102131,anderal01,0.001922104074527148,53135000,74973988.0
2013,TOR,NBA,885120,anderal01,0.015249121356212529,58044000,72903264.0
2014,BKN,NBA,947907,anderal01,0.016154109647403672,58679000,72519787.0
2015,BKN,NBA,1276061,anderal01,0.0202340600967256,63065000,77841847.0
2016,WAS,NBA,4000000,anderal01,0.05714285714285714,70000000,85323721.0
2017,LAC,NBA,1315448,anderal01,0.013972871057858788,94143000,112368348.0
2002,DEN,NBA,288171,anderch01,0.0067804941176470585,42500000,69132284.0
2003,DEN,NBA,512435,anderch01,0.012724665391969408,40271000,64048956.0
2004,DEN,NBA,638679,anderch01,0.014568407846715328,43840000,67907202.0
2005,NOP,NBA,1600000,anderch01,0.03647139275131069,43870000,65719039.0
2006,NOP,NBA,3500000,anderch01,0.0707070707070707,49500000,71839551.0
2009,DEN,NBA,998398,anderch01,0.01701428084526244,58680000,80023973.0
2010,DEN,NBA,3650000,anderch01,0.0632582322357019,57700000,77414680.0
2011,DEN,NBA,4533300,anderch01,0.0781010957204879,58044000,75491545.0
2012,DEN,NBA,4234000,anderch01,0.07294466266969885,58044000,73970553.0
2013,DEN,NBA,4526000,anderch01,0.07797532906071256,58044000,72903264.0
2013,MIA,NBA,699952,anderch01,0.012058989731927504,58044000,72903264.0
