season,team,Pre-Season,Post-Reg_Season,Mean,Median,Min,Max,winner
1969,SFW,1413.2402,1450.0665,1412.9700463414633,1405.5349,1339.8353,1405.5349,OAK
1969,LAL,1553.5248,1577.329,1554.215563414634,1556.625,1513.6748,1556.625,OAK
1969,BOS,1584.1918,1534.8207,1577.7084597560975,1583.34735,1503.0945,1583.34735,OAK
1969,KEN,1384.9521,1371.9298,1362.0197487179487,1364.91505,1314.7433,1364.91505,OAK
1969,NOB,1441.6272,1510.0753,1396.2695679487178,1385.5650999999998,1343.64,1385.5650999999998,OAK
1969,NYA,1342.6892,1115.2101,1240.6137910256411,1233.7174,1115.2101,1233.7174,OAK
1969,MMF,1398.9762,1423.8419,1366.6701743589745,1377.32295,1300.5643,1377.32295,OAK
1969,MNP,1459.8883,1289.4252,1407.0664717948719,1410.55445,1289.4252,1410.55445,OAK
1969,HSM,1273.4525,1218.2058,1234.7065846153846,1233.9421499999999,1183.347,1233.9421499999999,OAK
1969,DNR,1411.0444,1363.5416,1396.8260064102562,1396.5662,1352.1263,1396.5662,OAK
1969,LAS,1244.509,1272.7181,1276.998912820513,1282.6999500000002,1210.2336,1282.6999500000002,OAK
1969,DLC,1396.6738,1388.3115,1338.7012102564101,1346.0438,1274.7545,1346.0438,OAK
1970,NYK,1598.4456,1552.6714,1650.4752756097562,1649.72235,1552.6714,1649.72235,INA
1970,SEA,1411.1523,1467.5287,1388.8373914634146,1389.6882999999998,1333.2051,1389.6882999999998,INA
1970,BAL,1514.278,1534.5507,1516.4169341463414,1517.7247,1473.2744,1517.7247,INA
1970,ATL,1495.8567,1528.0637,1465.615512195122,1466.2068,1400.0675,1466.2068,INA
1970,CHI,1401.6694,1427.5614,1405.727737804878,1402.0327,1343.2448,1402.0327,INA
1970,CIN,1438.6797,1410.0823,1429.4192390243904,1428.6129999999998,1373.9116,1428.6129999999998,INA
1970,PHO,1251.7151,1444.4806,1365.3622085365855,1384.2224999999999,1250.3827,1384.2224999999999,INA
1970,SDR,1420.1602,1346.261,1386.7202670731708,1387.7872000000002,1326.693,1387.7872000000002,INA
1970,INA,1472.5791,1437.421,1503.5913559523808,1507.32595,1427.0868,1507.32595,INA
1970,DLC,1442.0115,1430.4875,1436.7560785714286,1441.8502,1385.1156,1441.8502,INA
