season,team,Pre-Season,Post-Reg_Season,Mean,Median,Min,Max,winner,won
1995,POR,1541.6613,1569.8682,1566.3765073170732,1562.8717,1535.0957,1562.8717,HOU,False
1995,BKN,1532.8016,1370.4022,1455.1705036585363,1457.0507,1362.7102,1457.0507,HOU,False
1995,LAL,1428.9453,1505.5339,1508.251031707317,1515.87745,1437.0188,1515.87745,HOU,False
1995,MIN,1318.1008,1303.0073,1292.3687024390242,1292.2371,1235.1277,1292.2371,HOU,False
1995,CHA,1512.4629,1555.5403,1551.3235768292682,1554.05335,1491.4738,1554.05335,HOU,False
1995,NYK,1619.3615,1623.5875,1608.5986292682926,1613.43595,1548.7096,1613.43595,HOU,False
1995,IND,1608.3906,1612.443,1606.6706292682927,1612.6039,1559.745,1612.6039,HOU,False
1995,SAS,1576.5996,1693.6779,1630.0020048780489,1634.02045,1541.3473,1634.02045,HOU,False
1995,WAS,1384.53,1307.4429,1332.6928426829268,1318.48665,1277.6135,1318.48665,HOU,False
1995,UTA,1594.6359,1676.4249,1649.6693792682927,1651.83415,1575.908,1651.83415,HOU,False
